Ping,Mark,Tom
,,Self employed
,,Gigaom
,,Ame Cloud Ventures
,,Amobee
,,Persado
,,Sailthru
,,Stack Overflow
,,General Assembly
,,Cloudera
,,"SavingStar, Inc."
,,Chicago Innovation Mentors
,,Daylight Labs
,,Payfone
,,Remitly
,,L-SPARK
,,Hotwire PR
,,SWARM NYC
,,SUSANCK
,,Digital Garage
,,Cleveland Browns
,,"Scoop Technologies, Inc."
,,BRUNNERWORKS / BHiveLab
,,Cowboy Ventures
,,ShareThis
,,TriNet
,,Bendigou Information Limited
,,Originate
,,GlobalDots
,,IAB
,,Investopedia
,,Candyspace Media
,,[Coming Soon]
,,The New School
,,serkoart¨
,,Redfish Technology
,,RRE Ventures
,,Pandora
,,Women Grow
,,Yahoo
,,Ludlow Ventures
,,Sally Hershberger Professional Hair Care
,,Elevate Capital
,,Fiverr (Fiverr.com)
,,Blue Apron
,,Oracle
,,McKinsey & Company
,,Lincoln Financial Group
,,Intel Corporation
,,"Digital Fusion, LLC"
,,BBC News
,,GE Healthcare
,,Financial Times
,,JPMorgan Chase
,,TechCrunch
,,"Hi-Tech Solutions, Inc."
,,
,,
,,Revel Talent
,,RotoQL
,,The Information
,,Appodeal
,,Signetique IT Pte Ltd
,,"Usablenet, Inc."
,,ClassPass
,,Intelliruption LLC
,,NY Observer (BetaBeat)
,,Prolific Interactive
,,Northern Trust
,,Business Insider
,,My Social Canvas
,,Level9 Advisors
,,Pressflex / Racery
,,Lutron Electronics
,,Crowdcentric
,,Financial Times
,,University of Chicago
,,Rise Interactive
,,Digiday
,,Seek Thermal
,,Free Agent....for now....
,,Mobile Marketing Association
,,Salisbury School
,,FYI Network (part of A&E)
,,Google
,,Fashion Is Your Business Podcast
,,Pritzker Group Venture Capital
,,
,,Starwood Hotels & Resorts
,,thoughtbot
,,Sales Development Meetup
,,Anheuser-Busch InBev
,,Google
,,"Neustar, Inc."
,,Facebook
,,BlackBerry
,,ibokanwisdom Inc.
,,
,,Razorfish
,,Vungle
,,Publicis Groupe
,,Multiple Startups
,,Zenjoy Limited
,,Chris Pfaff Tech Media LLC
,,Blue Man Group
,,Massive Clouds
,,Lake Placid Blues & Heritage Festival
,,Red Antler
,,Google
,,TriNet
,,Truly Wireless
,,Women in Wireless
,,Disney Parks and Resorts Digital
,,Cuckoos Nest Club
,,
,,Appboy
,,Venmo
,,The Founder Institute
,,Envirosell
,,"Aaron's, Inc"
,,Xaxis
,,Forever Sunny Foundation
,,McKinsey & Company
,,Big Mouth Records LLC
,,Crisp Media
,,AOL??????????????
,,"Valencia Media Group, LLC"
,,First Data Corporation
,,PlaceIQ
,,Shapiro+Raj/CarbonSix
,,Activision Blizzard
,,Bloomberg LP
,,Sears Holdings Corporation
,,Mobext (Havas Media Group)
,,eMentorConnect LLC
,,Simple Pair Design Group
,,
,,
,,City of New York
,,Jefferies
,,Gogobot
,,Arena Ventures
,,Bustle
,,MediaOne Partners (formerly Padula Recruiting)
,,The Huffington Post
,,SmartClick
,,Facebook
,,"One Drop, Informed Data Systems Inc."
,,Playbuzz
,,Koko
,,Venture For America
,,TBD
,,Temasys Communications
,,JOIN Capital
,,Google
,,Teach For America
,,Campbell Soup Company
,,Breakline Digital
,,The Economist Group
,,Modalyst
,,
,,Meetup
,,cybertecture.com
,,
,,Whisper App
,,Trulioo
,,Tremor Video
,,zeotap
,,
,,Salisbury Ventures
,,MobileFuse
,,Brinker International
,,Generali
,,Circle
,,SOURCEEASY
,,Thirty Labs Inc.
,,Nanigans
,,Fidelity International
,,Demandbase
,,AT&T
,,Emerging Practitioners in Philanthropy (EPIP)
,,Golub Capital
,,the Scaffold
,,RJMetrics
,,Locket (Acquired by Wish)
,,StartupBus
,,EY
,,Intel Corporation
,,Harbor City Harbor Gateway Chamber of Commerce
,,Kellett School - The British International School in Hong Kong
,,Tencent
,,LaunchSquad
,,MobPartner
,,MCG Associates
,,Industrious
,,"comScore, Inc."
,,Madhouse Inc.
,,Intralist
,,Morgan Stanley
,,"Gamblit Gaming, LLC"
,,Crisp Media
,,Square
,,Oracle
,,IAB
,,TechCrunch
,,V12 Group
,,Andela
,,Hulu
,,Tesloop
,,Google
,,"Success in Web, Inc."
,,"Shanghai Lemeng Tech (www.lemengtech.com, and owns www.helekang.com)"
,,Interactive Advertising Bureau
,,PocketMath
,,BeeswaxIO
,,Google
,,AdColony
,,Guy and the Blog
,,GetSet
,,Progistics Distribution
,,Criteo
,,Etsy
,,CEC-EPN Centro de Educaci—n Continua PolitŽcnica Nacional
,,Valassis
,,Infocomm Investments Pte Ltd
,,"Thubrikar Aortic Valve, Inc."
,,"Krux Digital, Inc."
,,Google
,,15Five
,,Loft9
,,Redpoint Ventures
,,CircleUp
,,Sketchfab
,,Stylisted
,,Unity Technologies
,,Panorama Education
,,BlisMedia
,,PHD
,,Dezign of Mine
,,PapayaMobile Inc.
,,Three Degrees (A WCG Company)
,,Coiney
,,Artsy
,,Sustainment
,,FounderMade
,,[L]earned Media
,,Princeton University
,,Old School Prints
,,Tribal Worldwide
,,SixThirty
,,First Access
,,
,,
,,NetApp
,,Grab
,,CBS Interactive
,,Flatiron Investors
,,Nylon Media
,,Early Growth Financial Services
,,Pandora
,,Jefferies & Company
,,Facebook
,,"Xcel Brands, Inc."
,,Curplated
,,Rainbow Child Care Center
,,Social Capital LP
,,orchrd consulting
,,BFD
,,IgnitionOne
,,Windlas Healthcare
,,Microsoft
,,Resource Avenue
,,BOLDstart Ventures
,,Direct Line Group
,,MediaVest
,,DataEngConf
,,enable2grow
,,Refinery29
,,TexTurner
,,MaiTai Global
,,Amazon
,,Crisp Media
,,
,,Mella Media
,,
,,Independent Technologist and Software Consultant
,,Freelance
,,Connecterra BV
,,USAA
,,Trademob
,,RUN
,,PayNearMe
,,Spongecell
,,Metropolitan Real Estate Equities
,,Earnest Inc.
,,
,,
,,Millennials in Travel
,,Olo
,,"Turner (formerly Turner Broadcasting System, Inc)"
,,Self-employed
,,NGUMA
,,Beeby Clark+Meyler
,,Counsyl
,,ClearFactr
,,Juventus Club Silicon Valley
,,KATALYST LIVE
,,Mast Mobile
,,Dolphin Browser
,,BTIG
,,Andela
,,Fjord
,,Tencent
,,Maxwell Forest
,,Quesnay Inc.
,,ATX Equation
,,O'Reilly Media
,,OpsYard Inc.
,,Canoe Ventures
,,dimoso
,,DigitasLBi
,,The Karen and Jackie Show
,,
,,Mondogoal Ltd.
,,Fabrice Grinda and Jose Marin Investments
,,Venturetec Accelerator
,,Innovid
,,Facebook
,,Rocket Fuel Inc.
,,GPShopper
,,SunTrust
,,Marketing Architects
,,Rocket Fuel Inc.
,,Grupo Garnier
,,Uber
,,BitFury Group Ltd
,,OpenTable
,,R/GA
,,??
,,OKpanda Inc.
,,Retailigence Corporation
,,Decision Resources Group
,,EDGE Edtech
,,Quattro Wireless
,,AOL
,,Translucent  Consultancy
,,Facebook
,,Adcade
,,Crisp Mobile
,,Annalect
,,Omny
,,TEDxBlackRockCity
,,Gilead Sciences
,,Rivet Logic Corporation
,,SHADOW | Community of Dreamers
,,Huge
,,The Boston Consulting Group
,,PulsePoint
,,The Priceline Group (NASDAQ: PCLN)
,,City of Chicago
,,D.A.CONSORTIUM
,,zeotap
,,University of Exeter
,,Blue Rain Media
,,"Parietal VR, Inc."
,,PubMatic Inc.
,,Dentsu Inc.
,,Andela
,,Buddha Belly Productions
,,Kynetic
,,Hot Ramen Digital (Berlin)
,,Canary (canary.is)
,,Mount Zion Health Fund
,,Tanooki Labs
,,SUPERGRAVITY Pictures
,,"AIG Asia Pacific Insurance Pte, Ltd"
,,"SQBlueSky, Inc."
,,AdMaster Inc.
,,
,,GENPACT
,,"MRI-The Boston Group, Inc."
,,MoreYellow
,,West-Ward Pharmaceuticals
,,Interchange Ltd
,,Scientific Revenue
,,Radius Global Market Research
,,Live Nation Entertainment
,,NetSuite
,,Business Insider
,,Startup Weekend
,,Femgineer
,,Georgian Co-Investment Fund
,,
,,Aharai! Follow me!
,,Aldebaran Robotics
,,AppLeap Inc.
,,Fast Company
,,Serafina Says Farm
,,Oro Bakery & Bar
,,Credits Blockchain
,,Bonial International Group
,,Johnson & Johnson
,,Havas Life Metro
,,Appboy
,,Oddo Sociedad de Valores
,,City University of New York
,,
,,Sitecore
,,RBC Capital Markets
,,Bank of America
,,FanDuel Inc.
,,Oracle
,,"Apsalar, Inc."
,,Cuebiq
,,Brand Innovators LLC
,,World Economic Forum
,,JPMorgan Chase
,,
,,Sourcepoint Technologies Inc
,,MapMotion KK
,,Rubicon Project
,,"ICX Media, Inc"
,,New York University
,,GeiserMaclang Marketing Communications Inc
,,PERCH.
,,General Assembly
,,Sidley Austin LLP
,,"Ibotta, Inc."
,,WTA
,,Palantir Technologies
,,Consultant / Freelance
,,"Falcon Expenses, Inc."
,,Anheuser-Busch InBev
,,Virtu Financial
,,X: The Moonshot Factory
,,Index Inc.
,,Forum Events Ltd
,,COWORKRS
,,TIA NOW
,,Helix Sleep
,,Gate Labs
,,General Assemb.ly
,,DoubleClick
,,"Digital Gurus | Digital Recruitment - London, Sydney, Dubai"
,,About.com
,,Placed
,,"Agent-cy Online Marketing, Inc"
,,Various clients
,,Vuframe
,,Impact Investment Partners
,,Team NEO
,,
,,Crisp Media
,,YAYME INC.
,,IBM Interactive Experience
,,Spotify
,,Publishers Clearing House
,,"Coursebase, Inc."
,,Eight Seven Capital
,,"Uber, Inc"
,,
,,Aperian Global
,,Dow Jones
,,Mike Weiser Music
,,KAX Media
,,Walmart
,,Consultant and Adviser
,,amorana.ch (Bluebox Shop AG)
,,McPherson Strategies
,,Shopal
,,Vertana Group LLC
,,IBM
,,"CoRise Co., LLC"
,,Quantcast
,,Spright inc
,,Liberty Ltd
,,"C.R. BARD, INC."
,,Roomi
,,Actis
,,Desktop Metal
,,IDG Enterprise
,,STAQ
,,Brave Software
,,
,,OpenWeatherMap
,,Viacom
,,Datavail
,,Stripe
,,Earthjustice
,,Vibes
,,IPG Media Lab
,,TransLink Capital
,,"BitGo, Inc."
,,Bango Inc.
,,Global Thematic Partners
,,IBM
,,Magzter
,,Kindly
,,"St. George's University, Grenada"
,,Palantir Technologies
,,???? zx-tour
,,Aarki
,,Capital One
,,TBWA\Chiat\Day
,,BuzzFeed
,,Independent Consultant
,,D.A.Consortium
,,GrandIntent
,,salisbury school
,,Homebrew (Seed Stage Venture Capital)
,,Tanzin Holdings LLC
,,Rallyverse
,,Cultivate Traction
,,"Estimote, Inc."
,,Tribeca Mobile Innovations
,,Frontier Health -
,,L. B. Strategy
,,Startup Grind
,,Mobile Marketing Association (MMA) Asia Pacific
,,RadiumOne
,,"Yale Entrepreneurial Institute, Yale University"
,,Huge
,,Blonk
,,Uber
,,
,,Knewton
,,"The Trade Desk, Inc."
,,McKesson
,,Innovid
,,A Book Apart
,,E Ink Corporation
,,LiveRamp
,,1776
,,
,,App Annie
,,CraftJack
,,ChargeSpot
,,FUNKE Digital TV Guide GmbH
,,Birchmere Ventures
,,
,,DealNet Capital (CNSX: DLS)
,,BMW Group
,,Obviously Social
,,University of Michigan Ross School of Business
,,Union Square Ventures
,,Woodstock Music Laboratory
,,Madhouse Inc.
,,Facebook
,,Google
,,The Weather Channel
,,Nanigans
,,Food-X
,,
,,BluWrap
,,OMD USA
,,AppNexus
,,R/GA
,,"comScore, Inc."
,,Hard Candy Shell
,,The Daily Show with Trevor Noah
,,JD.COM
,,Index Ventures
,,Huzzapp
,,Salisbury School
,,Hawkins New York
,,"SharpHat, Inc."
,,growthhacked
,,Execution Labs
,,my6sense
,,Quantcast
,,Tactivate
,,New York University
,,CustomInk
,,Snapfish
,,Testin
,,Delorean Labs
,,Intel Corporation
,,User Interviews
,,The University of Melbourne
,,Hyde Park Angels
,,Amusemi
,,Understood.org
,,TechList
,,General Assemb.ly
,,Various
,,UNITED
,,Havas Worldwide
,,Matchfire Co.
,,SSM Health
,,SCA
,,General Assembly
,,Independent
,,"Olapic, Inc."
,,Microsoft
,,Women Developers
,,"Conversant, LLC"
,,Gartner
,,mCordis
,,Newsday Media Group
,,Gaia Real Estate
,,Princeton Ventures
,,Crisp Wireless
,,PlaceInvaders
,,Forrester
,,500 Startups
,,Project Gigit Inc.
,,Facebook
,,Amazon Web Services
,,Cambrian Innovation Inc
,,Drizly
,,Kellogg School of Management
,,Bon Appetit
,,"Select Equity Group, Inc."
,,Health Talks Online
,,Operative
,,Shapeways
,,"ZGT,LLC"
,,"HT Design Studio, LLC"
,,Techstars
,,Speakr
,,StreamLoan
,,General Assembly
,,TigerLaunch Startup Competition
,,KUAF 91.3 Public Radio
,,Microsoft
,,Monotype Imaging
,,AKQA
,,datech.cc
,,VivaKi Starcom MediaVest Group
,,Tech in Asia (YC W15)
,,Vserv
,,e-Academy
,,TINYpulse
,,The New York Times
,,Hearshot Inc.
,,Robert Half
,,Patient Possible
,,
,,Lyft
,,Flex & Flow
,,RevTrax
,,AOL Platforms
,,Explain Everything
,,
,,PrefTV
,,DC Setlist
,,InVisionApp Inc
,,Ipsos
,,
,,The Weather Network
,,LiveRamp
,,BD Cooking Co.
,,Government of Singapore Investment Corporation
,,Douglas Elliman Real Estate
,,Saatchi & Saatchi
,,WISE PR
,,Norwest Venture Partners
,,AOL Platforms
,,Cheddar Inc.
,,Method Savvy
,,Ad Council
,,Academy of Art University
,,DC Comics
,,Zola.com
,,MediaMath
,,Atom Factory Inc.
,,Keen IO
,,H-FARM
,,"PHT International, Inc."
,,Skyhook Wireless
,,Hullabalu
,,"CyberAgent America,Inc."
,,
,,Mixcloud
,,Bellhop
,,
,,mediba
,,Titan Broadcast Management
,,SG & Co
,,Union + Webster
,,Gin Lane Media
,,Informa Exhibitions
,,Global Garage
,,Bosch Communications Systems
,,"Gravitater, Inc."
,,Google
,,Bolt Energias
,,ClearFactr
,,LiquidM
,,Nanigans
,,KFWilliams Contracting LLC
,,Galvanize
,,Nexage
,,DataXu
,,Droidcon NYC
,,Sharebot Deutschland
,,Huge
,,WeWork
,,SAY Media
,,Experian
,,Airbnb
,,Charlton Media Group
,,Andela
,,Siberia.
,,Caarbon Corp.
,,Bluegreen Vacations
,,PocketMath
,,pipelinetorque
,,Keen Home
,,Facebook
,,Cleeng
,,Horizon Media
,,GWC Inc
,,Zuma Ventures
,,SeatGeek
,,Geofeedia
,,Frederick-Firestone Fire Protection District
,,Air Canada
,,Whisper
,,People For the American Way
,,Theorem
,,Silicon Valley Software Group
,,Yodo1
,,Slush
,,Amazon
,,Amazon
,,Blue Chip Marketing Worldwide
,,Formula Social
,,D.A.Consortium Inc.
,,Omnitracs
,,Beacon Light Advisors LLC
,,Technode.com
,,BBC Global News Ltd
,,Crisp Media
,,JPMorgan Chase & Co.
,,Human Ventures
,,Grow Digital LLC
,,
,,General Assemb.ly
,,New Frontier Nomads
,,Moocall
,,
,,ExpertMaker
,,Adobe
,,Patch.com
,,Dun and Bradstreet
,,Freespee
,,Shopbeam
,,JPMorgan Chase
,,JPMorgan
,,About.com
,,"Celtra, Inc."
,,Madison Alley Global Ventures
,,Weather.com
,,Johns Hopkins School of Advanced International Studies
,,Brunswick Group
,,Hotwire PR
,,Syracuse University Men's Hockey - ACHA Division I
,,Sequoia Capital
,,Flipkart
,,Omnifi Ltd
,,Upstream
,,ReFUEL4
,,Wayra
,,Slow Boat Brewery
,,Geoffrey Ellis Photography
,,"SES Media Group, Inc"
,,Multiple/Confidential
,,Light Reaction
,,"Kabbage, Inc"
,,SoundHound
,,neuehouse
,,GLG
,,Addroid
,,Harvard University
,,Vringo
,,Experian Consumer Services
,,Credit Suisse
,,CBS Interactive
,,Lionheart Software
,,3Pillar Global
,,MIGHTY PR
,,The Economist
,,CêVICO
,,Medical Knowledge Group
,,Shazam
,,Vicarious Partners
,,Vidiense
,,"Estimote, Inc."
,,Vnicorn
,,Tumblr
,,Freelance
,,YouAppi
,,YourStory Media
,,DoubleVerify
,,engage:BDR
,,Massachusetts Institute of Technology (MIT)
,,Barclays Capital
,,Macy's
,,Perfect  World Pictures
,,Amazon Japan
,,Prospect Capital Management
,,AdMaster Inc.
,,
,,FMNews
,,Fetch
,,Filipino American Museum (FAM)
,,Andela
,,Simpli.fi
,,General Assembly
,,MediaCom
,,The Kids Passport
,,
,,White & Case LLP
,,MedDesk
,,Consulting
,,Guangzhou Radio Group
,,IAB UK
,,Herio Capital
,,App Annie
,,ThoughtWorks
,,Sopra Steria
,,D. E. Shaw & Co.
,,Etsy
,,Intuit
,,The Accomplished Traveler
,,Vungle
,,Edelman
,,SQAD LLC
,,National Association of Attorneys General
,,Bounce Exchange
,,Chinaccelerator
,,Rhapsody International
,,MIT Sloan School of Management
,,PubMatic
,,House of Generations
,,YP
,,
,,PubMatic
,,GroupM
,,CH2M
,,Xaxis
,,FunnelFire
,,Founders Network
,,ADT
,,Stained Glass Labs
,,"O'Melveny & Myers, LLP, Shanghai"
,,IDT Corporation
,,Amazon
,,Lyft
,,
,,Brew Media Relations
,,Techstars
,,iCrossing
,,Facebook
,,Wheelhouse.io
,,
,,Bark & Co.
,,Gartner
,,"Strategic Growth Partners, Inc."
,,Carousell
,,Location Labs (formerly WaveMarket)
,,Various Conferences
,,Purch
,,Morningstar
,,ADP
,,Catalina Marketing
,,Spacequant
,,BuzzCity Pte Ltd
,,(MaGIC) Malaysian Global Innovation & Creativity Centre
,,Appboy
,,The Boston Consulting Group
,,Videopath
,,Coming Soon?
,,"FulcrumTech, LLC"
,,Vibes
,,Eventbrite
